iter	Passed	Remaining
241	3027	9482
242	3039	9470
243	3052	9457
244	3064	9442
245	3076	9429
246	3088	9414
247	3100	9400
248	3112	9387
249	3124	9373
250	3136	9360
251	3150	9350
252	3162	9336
253	3174	9323
254	3186	9310
255	3199	9297
256	3211	9283
257	3224	9273
258	3236	9259
259	3248	9245
260	3260	9232
261	3273	9219
262	3284	9204
263	3296	9190
264	3308	9175
265	3319	9161
266	3331	9147
267	3345	9136
268	3357	9122
269	3368	9108
270	3380	9094
271	3393	9083
272	3406	9070
273	3418	9057
274	3429	9042
275	3442	9029
276	3454	9015
277	3468	9007
278	3480	8994
279	3492	8980
280	3504	8966
281	3517	8954
282	3529	8941
283	3541	8929
284	3554	8916
285	3566	8903
286	3578	8890
287	3590	8877
288	3603	8864
289	3615	8852
290	3628	8840
291	3640	8826
292	3652	8813
293	3664	8798
294	3675	8784
295	3687	8770
296	3700	8758
297	3712	8745
298	3724	8732
299	3736	8718
300	3748	8705
301	3763	8698
302	3776	8686
303	3788	8672
304	3800	8660
305	3812	8647
306	3825	8635
307	3838	8624
308	3851	8612
309	3862	8597
310	3874	8584
311	3887	8571
312	3900	8561
313	3913	8549
314	3926	8538
315	3939	8527
316	3951	8514
317	3964	8501
318	3976	8487
319	3988	8475
320	4000	8461
321	4012	8448
322	4025	8436
323	4037	8424
324	4051	8414
325	4065	8405
326	4078	8394
327	4092	8383
328	4105	8372
329	4118	8361
330	4130	8348
331	4143	8337
332	4157	8327
333	4170	8315
334	4182	8302
335	4196	8292
336	4208	8280
337	4221	8268
338	4233	8254
339	4245	8241
340	4258	8229
341	4270	8216
342	4283	8204
343	4295	8192
344	4307	8178
345	4319	8165
346	4332	8152
347	4345	8142
348	4358	8129
349	4370	8117
350	4383	8105
351	4395	8092
352	4407	8078
353	4420	8066
354	4432	8053
355	4447	8045
356	4461	8034
357	4473	8022
358	4486	8011
359	4498	7998
360	4511	7984
361	4523	7971
362	4535	7959
363	4548	7946
364	4560	7933
365	4572	7920
366	4585	7908
367	4598	7896
368	4611	7885
369	4625	7875
370	4638	7863
371	4650	7851
372	4663	7838
373	4676	7828
374	4689	7815
375	4702	7804
376	4715	7792
377	4727	7778
378	4739	7765
379	4752	7753
380	4765	7742
381	4779	7731
382	4792	7720
383	4806	7710
384	4821	7702
385	4836	7693
386	4850	7682
387	4863	7671
388	4877	7660
389	4892	7652
390	4905	7640
391	4918	7629
392	4931	7616
393	4944	7604
394	4956	7591
395	4969	7580
396	4982	7567
397	4995	7555
398	5008	7544
399	5022	7533
400	5035	7521
401	5048	7509
402	5060	7496
403	5072	7483
404	5085	7470
405	5098	7459
406	5111	7447
407	5124	7435
