ortalama_hasta_bekleme_dk,hekim_atil_sure_dk,hekim_mesai_asimi_dk,gorulen_hasta_sayisi,gun,politika
9.19656945940692,45,14.988050048210539,17,107,statik
9.832552632695473,0,2.988050048210539,18,107,hibrit
2.027058790992444,75,0.0,15,108,statik
2.525367616555416,0,0.0,16,108,hibrit
5.190030525849872,15,0.0,19,109,statik
8.66847993714547,0,0.0,20,109,hibrit
5.954071482636272,60,0.0,16,110,statik
11.126008051852109,0,0.0,17,110,hibrit
13.656674005962925,45,42.796391037536125,17,111,statik
17.49776939660588,0,49.51290768666587,18,111,hibrit
9.874943577055868,30,37.95522725498131,18,112,statik
9.874943577055868,0,37.95522725498131,18,112,hibrit
11.628787714059476,30,10.361494129687458,18,113,statik
11.628787714059476,0,10.361494129687458,18,113,hibrit
1.140327697934806,60,0.0,16,114,statik
1.49344874320978,0,0.0,17,114,hibrit
10.39092831586418,60,25.625347136382402,16,115,statik
8.934129422953498,0,74.53656034248803,17,115,hibrit
4.7669416818622965,30,0.0,18,116,statik
4.779207909132702,0,0.0,19,116,hibrit
6.59448290875455,0,0.0,20,117,statik
6.59448290875455,0,0.0,20,117,hibrit
9.561493962196222,15,23.6137549979116,19,118,statik
10.26410701398199,0,22.121221264396752,20,118,hibrit
5.282947709379961,15,0.0,19,119,statik
5.282947709379961,0,0.0,19,119,hibrit
2.629606195317562,45,11.744596333194977,17,120,statik
3.442883205671338,0,1.8248502373911606,18,120,hibrit
6.495551548717349,0,7.838656432773746,20,121,statik
7.035699400339082,0,60.0787788126666,21,121,hibrit
7.943235392485444,30,30.831171089521035,18,122,statik
7.943235392485444,0,30.831171089521035,18,122,hibrit
55.92892898109066,15,32.504096461414406,19,123,statik
59.75768735510685,0,36.81861008668466,20,123,hibrit
6.383283503395355,75,0.0,15,124,statik
6.997654304276816,0,0.0,16,124,hibrit
80.31964356216803,15,91.79628087522781,19,125,statik
80.31964356216803,0,91.79628087522781,19,125,hibrit
1.6794681673687313,45,0.0,17,126,statik
1.6794681673687313,0,0.0,17,126,hibrit
0.3364189909280826,30,0.9870484783835423,18,127,statik
1.2303433211650552,0,0.0,19,127,hibrit
7.983859238842255,15,17.544391904138877,19,128,statik
15.792075973935999,0,35.92570404069534,21,128,hibrit
14.133907575751776,60,0.0,16,129,statik
14.378844061304319,0,0.0,18,129,hibrit
19.84960557306498,45,0.0,17,130,statik
19.84960557306498,0,0.0,17,130,hibrit
0.946367232165907,75,24.12391218902195,15,131,statik
0.946367232165907,0,24.12391218902195,15,131,hibrit
27.67509394071775,0,1.1685330005222454,20,132,statik
27.67509394071775,0,1.1685330005222454,20,132,hibrit
